Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
418.5	11.771	35.633	199.82
419.5	11.768	35.633	199.72
420.5	11.761	35.633	199.6
421.5	11.751	35.633	199.47
422.5	11.742	35.632	199.34
423.4	11.732	35.63	199.2
424.4	11.726	35.629	199.04
425.4	11.724	35.629	198.86
426.4	11.72	35.628	198.66
427.4	11.717	35.628	198.48
428.4	11.716	35.628	198.34
429.4	11.714	35.629	198.25
430.4	11.709	35.63	198.21
431.4	11.705	35.629	198.18
432.4	11.703	35.629	198.15
433.3	11.702	35.629	198.1
434.3	11.698	35.63	198.05
435.3	11.69	35.63	198.03
436.3	11.685	35.629	198.02
437.3	11.683	35.629	198.02
438.3	11.676	35.63	198.02
439.3	11.67	35.63	198.0
440.3	11.668	35.63	197.95
441.3	11.666	35.63	197.86
442.3	11.662	35.63	197.75
443.3	11.658	35.63	197.66
444.2	11.656	35.63	197.59
445.2	11.654	35.63	197.52
446.2	11.65	35.631	197.46
447.2	11.644	35.632	197.38
448.2	11.638	35.632	197.29
449.2	11.632	35.632	197.2
450.2	11.628	35.632	197.11
451.2	11.625	35.632	197.0
452.2	11.624	35.631	196.88
453.2	11.623	35.631	196.76
454.2	11.622	35.631	196.61
455.1	11.62	35.632	196.47
456.1	11.614	35.633	196.31
457.1	11.608	35.633	196.15
458.1	11.605	35.632	195.97
459.1	11.604	35.632	195.77
460.1	11.601	35.632	195.56
461.1	11.598	35.631	195.36
462.1	11.598	35.631	195.19
463.1	11.597	35.632	195.07
464.1	11.595	35.632	194.98
465.0	11.595	35.632	194.92
466.0	11.593	35.632	194.87
467.0	11.589	35.633	194.83
468.0	11.585	35.634	194.82
469.0	11.581	35.634	194.85
470.0	11.573	35.635	194.92
471.0	11.563	35.635	195.01
472.0	11.554	35.635	195.11
473.0	11.548	35.635	195.19
474.0	11.54	35.636	195.25
475.0	11.533	35.636	195.29
475.9	11.527	35.636	195.32
476.9	11.517	35.636	195.34
477.9	11.507	35.636	195.33
478.9	11.501	35.634	195.29
479.9	11.5	35.633	195.22
480.9	11.502	35.634	195.11
481.9	11.505	35.637	194.99
482.9	11.504	35.64	194.87
483.9	11.5	35.641	194.75
484.9	11.496	35.641	194.62
485.8	11.49	35.641	194.48
486.8	11.483	35.642	194.34
487.8	11.477	35.641	194.19
488.8	11.471	35.641	194.04
489.8	11.466	35.64	193.9
490.8	11.462	35.64	193.76
491.8	11.454	35.641	193.63
492.8	11.441	35.642	193.51
493.8	11.43	35.641	193.37
494.8	11.427	35.64	193.22
495.7	11.426	35.64	193.05
496.7	11.425	35.641	192.86
497.7	11.421	35.641	192.67
498.7	11.417	35.641	192.5
499.7	11.415	35.641	192.36
500.7	11.414	35.64	192.23
501.7	11.413	35.64	192.12
502.7	11.412	35.64	192.0
503.7	11.409	35.641	191.86
504.7	11.405	35.641	191.7
505.7	11.403	35.641	191.54
506.6	11.401	35.641	191.4
507.6	11.397	35.643	191.26
508.6	11.39	35.644	191.12
509.6	11.38	35.645	190.96
510.6	11.376	35.644	190.74
511.6	11.374	35.643	190.48
512.6	11.366	35.644	190.16
513.6	11.352	35.646	189.84
514.6	11.339	35.646	189.55
515.6	11.33	35.644	189.32
516.5	11.325	35.642	189.11
517.5	11.326	35.643	188.92
518.5	11.329	35.643	188.73
519.5	11.33	35.645	188.53
520.5	11.323	35.646	188.34
521.5	11.298	35.647	188.2
522.5	11.265	35.642	188.12
523.5	11.243	35.633	188.09
524.5	11.235	35.627	188.08
525.5	11.236	35.626	188.07
526.4	11.244	35.628	188.03
527.4	11.258	35.633	187.97
528.4	11.267	35.64	187.9
529.4	11.267	35.642	187.83
530.4	11.263	35.643	187.77
531.4	11.265	35.643	187.71
532.4	11.271	35.644	187.64
533.4	11.278	35.646	187.56
534.4	11.275	35.65	187.46
535.4	11.265	35.65	187.36
536.3	11.257	35.647	187.26
537.3	11.26	35.645	187.16
538.3	11.27	35.646	187.07
539.3	11.277	35.65	187.01
540.3	11.281	35.652	186.98
541.3	11.285	35.654	186.96
542.3	11.285	35.655	186.95
543.3	11.284	35.656	186.95
544.3	11.282	35.656	186.95
545.3	11.268	35.659	186.95
546.2	11.243	35.658	186.96
547.2	11.24	35.653	186.96
548.2	11.255	35.656	186.96
549.2	11.25	35.662	186.94
550.2	11.23	35.662	186.89
551.2	11.215	35.658	186.81
552.2	11.206	35.656	186.72
553.2	11.195	35.654	186.62
554.2	11.188	35.652	186.5
555.2	11.179	35.651	186.36
556.1	11.158	35.65	186.2
557.1	11.127	35.646	186.0
558.1	11.102	35.639	185.76
559.1	11.09	35.635	185.49
560.1	11.072	35.636	185.2
561.1	11.029	35.636	184.88
562.1	10.991	35.628	184.52
563.1	10.969	35.619	184.12
564.1	10.955	35.614	183.69
565.1	10.938	35.611	183.24
566.0	10.923	35.608	182.77
567.0	10.913	35.605	182.31
568.0	10.907	35.603	181.88
569.0	10.905	35.602	181.49
570.0	10.906	35.602	181.13
571.0	10.907	35.603	180.81
572.0	10.908	35.604	180.51
573.0	10.92	35.604	180.24
574.0	10.951	35.609	180.0
575.0	10.982	35.622	179.79
575.9	11.003	35.631	179.62
576.9	10.995	35.64	179.49
577.9	10.926	35.639	179.39
578.9	10.872	35.623	179.31
579.9	10.872	35.611	179.24
580.9	10.914	35.612	179.17
581.9	11.01	35.629	179.13
582.9	11.115	35.662	179.13
583.9	11.131	35.687	179.17
584.9	11.092	35.688	179.26
585.8	11.059	35.678	179.36
586.8	11.039	35.671	179.47
587.8	11.021	35.666	179.56
588.8	11.0	35.662	179.65
589.8	10.984	35.657	179.73
590.8	10.98	35.652	179.81
591.8	11.004	35.652	179.88
592.8	11.057	35.664	179.94
593.8	11.106	35.684	179.99
594.8	11.125	35.697	180.02
595.7	11.128	35.7	180.05
596.7	11.13	35.701	180.07
597.7	11.131	35.702	180.09
598.7	11.121	35.704	180.1
599.7	11.102	35.702	180.11
600.7	11.09	35.696	180.11
601.7	11.092	35.694	180.1
602.7	11.106	35.695	180.08
603.7	11.117	35.701	180.06
604.7	11.118	35.706	180.02
