Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
314.4	12.322	35.693	198.57
315.4	12.311	35.692	198.56
316.4	12.289	35.692	198.52
317.4	12.259	35.69	198.46
318.4	12.236	35.687	198.37
319.4	12.226	35.685	198.29
320.4	12.219	35.683	198.23
321.4	12.213	35.681	198.19
322.4	12.209	35.68	198.15
323.4	12.206	35.679	198.08
324.4	12.205	35.679	198.0
325.3	12.203	35.678	197.93
326.3	12.201	35.679	197.89
327.3	12.197	35.679	197.88
328.3	12.193	35.678	197.89
329.3	12.191	35.678	197.9
330.3	12.189	35.677	197.89
331.3	12.184	35.677	197.87
332.3	12.177	35.677	197.83
333.3	12.169	35.676	197.81
334.3	12.162	35.675	197.81
335.3	12.158	35.674	197.83
336.2	12.152	35.673	197.84
337.2	12.146	35.672	197.83
338.2	12.138	35.672	197.81
339.2	12.129	35.672	197.78
340.2	12.116	35.671	197.77
341.2	12.105	35.669	197.77
342.2	12.098	35.668	197.78
343.2	12.089	35.668	197.8
344.2	12.081	35.666	197.81
345.2	12.071	35.665	197.81
346.2	12.061	35.664	197.79
347.1	12.053	35.662	197.76
348.1	12.048	35.661	197.72
349.1	12.046	35.661	197.7
350.1	12.043	35.661	197.68
351.1	12.04	35.66	197.66
352.1	12.038	35.66	197.64
353.1	12.036	35.659	197.62
354.1	12.035	35.659	197.6
355.1	12.033	35.659	197.58
356.1	12.031	35.659	197.57
357.1	12.026	35.659	197.57
358.0	12.019	35.659	197.59
359.0	12.013	35.659	197.61
360.0	12.004	35.659	197.63
361.0	11.991	35.659	197.63
362.0	11.974	35.659	197.61
363.0	11.952	35.658	197.58
364.0	11.934	35.655	197.55
365.0	11.926	35.652	197.52
366.0	11.92	35.651	197.5
367.0	11.915	35.65	197.47
368.0	11.912	35.65	197.44
368.9	11.908	35.649	197.39
369.9	11.904	35.648	197.32
370.9	11.902	35.648	197.26
371.9	11.901	35.648	197.21
372.9	11.9	35.648	197.19
373.9	11.898	35.648	197.16
374.9	11.897	35.648	197.14
375.9	11.896	35.647	197.11
376.9	11.896	35.647	197.08
377.9	11.896	35.647	197.04
378.9	11.896	35.647	197.02
379.8	11.896	35.647	197.03
380.8	11.896	35.647	197.05
381.8	11.895	35.647	197.05
382.8	11.894	35.647	197.05
383.8	11.894	35.647	197.03
384.8	11.893	35.647	197.01
385.8	11.892	35.647	197.01
386.8	11.889	35.647	197.02
387.8	11.884	35.647	197.04
388.8	11.873	35.648	197.03
389.8	11.856	35.648	197.0
390.7	11.842	35.647	196.95
391.7	11.833	35.645	196.9
392.7	11.827	35.644	196.86
393.7	11.822	35.643	196.85
394.7	11.818	35.642	196.84
395.7	11.815	35.642	196.82
396.7	11.813	35.641	196.78
397.7	11.81	35.641	196.73
398.7	11.808	35.641	196.67
399.7	11.806	35.641	196.62
400.7	11.799	35.642	196.6
401.6	11.787	35.642	196.59
402.6	11.778	35.64	196.59
403.6	11.776	35.638	196.57
404.6	11.776	35.637	196.53
405.6	11.775	35.637	196.49
406.6	11.775	35.637	196.43
407.6	11.775	35.637	196.38
408.6	11.774	35.637	196.34
409.6	11.77	35.637	196.3
410.6	11.768	35.636	196.27
411.6	11.768	35.636	196.23
412.5	11.768	35.637	196.18
413.5	11.766	35.637	196.12
414.5	11.762	35.636	196.05
415.5	11.759	35.636	195.98
416.5	11.756	35.636	195.93
417.5	11.751	35.636	195.9
418.5	11.745	35.636	195.88
419.5	11.741	35.635	195.86
420.5	11.737	35.635	195.84
421.5	11.731	35.635	195.8
422.5	11.724	35.635	195.75
423.4	11.718	35.634	195.7
424.4	11.71	35.634	195.66
425.4	11.703	35.633	195.64
426.4	11.697	35.631	195.62
427.4	11.69	35.631	195.59
428.4	11.684	35.631	195.55
429.4	11.678	35.63	195.5
430.4	11.673	35.63	195.45
431.4	11.673	35.63	195.4
432.4	11.674	35.631	195.36
433.3	11.674	35.632	195.34
434.3	11.674	35.633	195.32
435.3	11.673	35.633	195.3
436.3	11.672	35.634	195.26
437.3	11.673	35.635	195.21
438.3	11.677	35.636	195.15
439.3	11.68	35.638	195.11
440.3	11.682	35.64	195.08
441.3	11.683	35.642	195.04
442.3	11.681	35.644	194.99
443.3	11.672	35.646	194.91
444.2	11.646	35.65	194.79
445.2	11.599	35.653	194.66
446.2	11.558	35.646	194.52
447.2	11.538	35.636	194.38
448.2	11.524	35.629	194.24
449.2	11.513	35.626	194.07
450.2	11.505	35.625	193.85
451.2	11.498	35.625	193.6
452.2	11.489	35.627	193.34
453.2	11.479	35.628	193.1
454.2	11.472	35.627	192.88
455.1	11.468	35.626	192.67
456.1	11.465	35.625	192.46
457.1	11.462	35.624	192.24
458.1	11.458	35.624	192.01
459.1	11.452	35.625	191.77
460.1	11.443	35.626	191.56
461.1	11.434	35.627	191.38
462.1	11.431	35.626	191.23
463.1	11.43	35.626	191.06
464.1	11.433	35.628	190.87
465.0	11.437	35.632	190.67
466.0	11.438	35.635	190.47
467.0	11.437	35.637	190.28
468.0	11.435	35.638	190.13
469.0	11.43	35.639	189.99
470.0	11.423	35.64	189.85
471.0	11.417	35.64	189.7
472.0	11.412	35.641	189.54
473.0	11.41	35.641	189.38
474.0	11.407	35.642	189.25
475.0	11.404	35.642	189.15
475.9	11.403	35.641	189.07
